TEST CENSUS (git HEAD 57269d21ab23cef3a4c5e50919890529ea70fff4): one row per tools/tests/*.py file.
columns: path | loc | tests=number of test methods | added=date|subject of the commit that added the file | commits touching it | pkg=dayz_mcp modules imported | imports_tests=other test modules imported | classes | popen=uses subprocess.Popen, sleeps=count of sleep calls | doc=module docstring first line
tools/tests/test_boundary_values_are_pinned.py | loc=221 | tests=21 | added=2026-08-21|Close phase 0: pin the boundaries, publish the bridge, drop the author's paths | commits=1 | pkg=daemon_contract,daemon_policy_contract,dayz_test_request,loopback,native_broker_protocol,playbook_tool,vehicle_trace | imports_tests=- | classes=SampleHzCeilingTests,LimitAndSampleCeilingTests,PortRangeTests,ValidTextTests,UnicodeTreeDepthTests,PlaybookToolLiteralTests | popen=0 sleeps=0 | doc=Upper bounds a mutation run walked straight through on 2026-08-21.
tools/tests/test_box_occupancy.py | loc=2351 | tests=82 | added=2026-08-20|Close the instance-fencing gate, and the three coordinator holes | commits=6 | pkg=dayz_test_worker,loopback,process_lifecycle,runtime_state,server,session_coordination | imports_tests=test_client_mode,test_mcp_tools,test_process_lifecycle | classes=ParseDayzLaunchArgvTest,BoxOccupancyTest,BoxHeadHelperTest,OccupancyErrorFieldsTest,RunCommandActivityTest,JsonlActivityLookupTest | popen=0 sleeps=0 | doc=
tools/tests/test_box_port_occupancy.py | loc=446 | tests=22 | added=2026-09-04|lifecycle: the box is occupied by whoever holds a game port, not only by DayZDiag_x64.exe by name ( | commits=3 | pkg=process_lifecycle,runtime_state,session_coordination | imports_tests=test_box_occupancy,test_process_lifecycle | classes=PortOccupancyTest,PortOccupancyRound2Test | popen=0 sleeps=0 | doc=fb-20260904-114520-6927: the box is occupied by whoever holds a game port.
tools/tests/test_box_port_wait.py | loc=165 | tests=10 | added=2026-09-04|lifecycle: the box is occupied by whoever holds a game port, not only by DayZDiag_x64.exe by name ( | commits=1 | pkg=server | imports_tests=test_box_occupancy | classes=WaitFailsFastOnUnreadableTableTest,ActiveRunDiagnosisTest,BlockedOnTest | popen=0 sleeps=0 | doc=fb-20260904-114520-6927, round 2: the caller learns WHY a launch was refused.
tools/tests/test_bridge_client_capabilities.py | loc=311 | tests=8 | added=2026-09-02|M05: resolve UI widgets by unique name, and refuse click modes with no handler | commits=1 | pkg=- | imports_tests=- | classes=BridgeClientCapabilitiesTest | popen=0 sleeps=0 | doc=Client capability announcement (`caps=` on every poll) vs the Enforce dispatcher.
tools/tests/test_bridge_server_capabilities.py | loc=458 | tests=9 | added=2026-09-02|M03: report cargo capacity per entity row, and publish the server verb set | commits=3 | pkg=- | imports_tests=- | classes=BridgeServerCapabilitiesTest | popen=0 sleeps=0 | doc=Server half of the capability announcement (ficha 8f8c BONUS, module M03).
tools/tests/test_bridge_status_generation.py | loc=132 | tests=4 | added=2026-08-28|Repair the client poll, and finish the v9 bump the version pins missed | commits=2 | pkg=core | imports_tests=- | classes=BridgeStatusGenerationTest | popen=0 sleeps=0 | doc=
tools/tests/test_bug046_audit_fault_recovery.py | loc=1788 | tests=45 | added=2026-08-16|Initial public release | commits=2 | pkg=admin_cli,daemon,loopback,runtime_state,session_coordination | imports_tests=test_session_coordination | classes=CoordinationFaultStoreTests,CoordinationFaultStartupRecoveryTests,DurableStartupRecoveryIntegrationTests,AuditWriteOnceTests,AuditFaultSnapshotTests,CoordinatorWalIntegrationTests | popen=0 sleeps=1 | doc=
tools/tests/test_bug046_authority_fence.py | loc=228 | tests=3 | added=2026-08-16|Initial public release | commits=1 | pkg=session_coordination | imports_tests=test_session_coordination | classes=_BlockingWal,GrantAuthorityFenceTests | popen=0 sleeps=0 | doc=
tools/tests/test_bug046_lease_queue_liveness.py | loc=1228 | tests=28 | added=2026-08-16|Initial public release | commits=3 | pkg=session_coordination | imports_tests=test_session_coordination | classes=Bug046DpfContractTests,Bug046H4GraceRuntimeTests,Bug046QueueLivenessRedTests,_BlockingWalBoundary,Bug046GrantAuthorityFenceTests | popen=0 sleeps=0 | doc=
tools/tests/test_bug046_startup_deadlock.py | loc=1461 | tests=32 | added=2026-08-16|Initial public release | commits=5 | pkg=daemon,host_config,identity_migration,runtime_state | imports_tests=- | classes=SimulatedCrash,BackupTransactionAdversarialTest,DaemonStartupElectionProcessTest,TreeIdentityTest,FixturePythonGuardTest | popen=1 sleeps=9 | doc=
tools/tests/test_bug104_reap_under_quarantine.py | loc=385 | tests=10 | added=2026-08-20|Close the instance-fencing gate, and the three coordinator holes | commits=3 | pkg=process_lifecycle,runtime_state,session_coordination | imports_tests=test_process_lifecycle | classes=ReapDeadRunsLockedTerminateInvariantTest,ReapUnderQuarantineBehaviorTest | popen=0 sleeps=0 | doc=
tools/tests/test_build_native_launcher_policy.py | loc=452 | tests=30 | added=2026-08-16|Initial public release | commits=2 | pkg=dayz_test_request,dayz_test_tool,native_bundle,request_path_authority | imports_tests=- | classes=LauncherPolicySourceTest,SealedRootTest,FixturePolicyBehaviorTest | popen=0 sleeps=0 | doc=
tools/tests/test_cambio_py_20260911.py | loc=283 | tests=17 | added=2026-09-11|fix(mcp): CAMBIO Python batch + 47c4 steam-bootstrap diagnosis | commits=5 | pkg=client_steam_bootstrap,dayz_test_tool,server,server_freshness | imports_tests=- | classes=SchemaSignalFreshnessTests,ClientSteamBootstrapDiagnosisTests,PublicSurfaceWindowsTests | popen=0 sleeps=0 | doc=Offline pins for the 2026-09-11 CAMBIO Python batch + 47c4 diagnosis.
tools/tests/test_camera_native_crash.py | loc=252 | tests=13 | added=2026-09-08|the client asked the engine for a camera that could die before it answered | commits=5 | pkg=server | imports_tests=- | classes=CameraNativeCrashSourceTest,CameraRestoreConsumerTest | popen=0 sleeps=0 | doc=Offline regression for the native GetCurrentCamera null dereference.
tools/tests/test_capture_error_never_carries_a_host_path.py | loc=125 | tests=8 | added=2026-08-22|Keep the author's filesystem off the wire when a capture fails | commits=1 | pkg=server | imports_tests=- | classes=_SinkRuntime,CaptureErrorTest | popen=0 sleeps=0 | doc=capture_screenshot must not put the host's filesystem on the MCP wire.
tools/tests/test_capture_frame_stale.py | loc=209 | tests=8 | added=2026-09-04|capture: declare a frozen frame (frame_stale) from a repeated surface hash and the intra-call frame | commits=1 | pkg=- | imports_tests=- | classes=FrameStaleTest | popen=0 sleeps=0 | doc=Frozen-frame contract of capture_screenshot (fb-20260904-145230-6d22, fb-20260904-025027-8f76 a).
tools/tests/test_client_credential_rotation_e2e.py | loc=645 | tests=2 | added=2026-08-16|Initial public release | commits=1 | pkg=accredited_daemon_transport,control_client,daemon_contract,daemon_credential,daemon_policy,native_process_guard,native_process_snapshot,orphan_guard | imports_tests=- | classes=LiveClientCredentialRotationE2ETest | popen=1 sleeps=1 | doc=
tools/tests/test_client_death_dump_binding.py | loc=576 | tests=31 | added=2026-09-24|feat(diag): name a late client death on the retired run (296b r2 B1) | commits=3 | pkg=client_dump_registry,client_steam_bootstrap,dayz_test_request,dayz_test_tool,native_launcher_transaction,steam_preflight | imports_tests=test_dayz_test_tool | classes=_Isolated,SolR1ReproTests,RetiredRunBindingTests,ClientDumpRegistryTests,_DaemonBackedRuntime,LateDeathEndToEndTest | popen=0 sleeps=0 | doc=296b r2: a client dump is bound to the run whose launch it follows.
tools/tests/test_client_dumps_cross_process.py | loc=515 | tests=16 | added=2026-09-25|fix(diag): bind client dumps in the daemon, keyed by run and profile (296b r3 B1) | commits=2 | pkg=client_steam_bootstrap,control_client,loopback,server,session_coordination | imports_tests=test_client_mode | classes=_Lifecycle,_McpProcess,CrossProcessClientDumpTests,ControlClientPayloadTests,SessionStatusBindingsTests | popen=1 sleeps=0 | doc=296b r3 (Sol r2 B1): two MCP processes, one client profile, one daemon.
tools/tests/test_client_mode.py | loc=1654 | tests=53 | added=2026-08-16|Initial public release | commits=7 | pkg=control_client,core,host_config,server,server_cli | imports_tests=test_daemon,test_mcp_tools | classes=GamePeer,ClientModeTest,ClientRuntimeProvenanceGateTest,ClientDaemonStartupBudgetTest,StrictParserTest | popen=0 sleeps=5 | doc=
tools/tests/test_client_platform_alias.py | loc=202 | tests=4 | added=2026-08-23|Accept grok as a client platform through an explicit alias table | commits=1 | pkg=control_client,host_config,server,session_coordination | imports_tests=test_daemon | classes=ClientPlatformAliasTest | popen=0 sleeps=0 | doc=Verify client platform aliases stop at the CLI boundary.
tools/tests/test_client_runtime_control_composition.py | loc=749 | tests=9 | added=2026-08-16|Initial public release | commits=1 | pkg=- | imports_tests=test_control_client | classes=ClientRuntimeControlCompositionTests | popen=0 sleeps=0 | doc=
tools/tests/test_command_validation_coverage.py | loc=163 | tests=3 | added=2026-08-21|Close phase 0: pin the boundaries, publish the bridge, drop the author's paths | commits=5 | pkg=loopback | imports_tests=- | classes=CommandValidationCoverageTest | popen=0 sleeps=0 | doc=Anti-regression: every whitelisted verb must survive validate_command_args.
tools/tests/test_control_client.py | loc=2033 | tests=36 | added=2026-08-16|Initial public release | commits=3 | pkg=daemon_policy | imports_tests=- | classes=ControlClientTests | popen=0 sleeps=1 | doc=
tools/tests/test_d05_capture_targets_run_client.py | loc=111 | tests=2 | added=2026-08-21|Close phase 0: pin the boundaries, publish the bridge, drop the author's paths | commits=1 | pkg=server | imports_tests=test_client_mode | classes=CaptureTargetsRunClientTest | popen=0 sleeps=0 | doc=D05: capture_screenshot must aim at the active run's CLIENT window.
tools/tests/test_d09_d10_spawn_timeout_object_id.py | loc=74 | tests=2 | added=2026-08-21|Close phase 0: pin the boundaries, publish the bridge, drop the author's paths | commits=1 | pkg=loopback,server | imports_tests=- | classes=SpawnTimeoutObjectIdTest | popen=0 sleeps=0 | doc=A failed bridge result must carry its object_id to the caller.
tools/tests/test_d40_marker_rewound_reads_only_the_tail.py | loc=112 | tests=4 | added=2026-08-21|Close phase 0: pin the boundaries, publish the bridge, drop the author's paths | commits=1 | pkg=log_tail,server | imports_tests=- | classes=MarkerRewoundReadsOnlyTheTailTest | popen=0 sleeps=0 | doc=D40: rewinding a marker must read the file's tail, not the whole file.
tools/tests/test_daemon.py | loc=2416 | tests=79 | added=2026-08-16|Initial public release | commits=11 | pkg=core,daemon,loopback,native_process_guard,orphan_guard,process_lifecycle,server,session_coordination | imports_tests=- | classes=DaemonHttpServer,DaemonEndpointTest,ProbeStatusHealthyTest,StrictDaemonProbeTest,StatusProviderMarkerTest,DaemonModuleStalenessTest | popen=0 sleeps=0 | doc=
tools/tests/test_daemon_contract.py | loc=179 | tests=4 | added=2026-08-16|Initial public release | commits=1 | pkg=- | imports_tests=- | classes=DaemonContractTests | popen=0 sleeps=0 | doc=
tools/tests/test_daemon_credential.py | loc=1025 | tests=20 | added=2026-08-16|Initial public release | commits=1 | pkg=accredited_daemon_transport,daemon_policy | imports_tests=- | classes=RefreshingDaemonCredentialTests | popen=0 sleeps=0 | doc=
tools/tests/test_daemon_policy.py | loc=450 | tests=10 | added=2026-08-16|Initial public release | commits=1 | pkg=- | imports_tests=- | classes=DaemonPolicyTests | popen=0 sleeps=0 | doc=
tools/tests/test_daemon_query_all_players.py | loc=147 | tests=5 | added=2026-08-16|Initial public release | commits=2 | pkg=loopback,server | imports_tests=- | classes=_ResultState,_BridgeRuntime,QueryAllPlayersWhitelistTest,QueryAllPlayersToolTest | popen=0 sleeps=0 | doc=
tools/tests/test_daemon_security_gate.py | loc=498 | tests=13 | added=2026-08-16|Initial public release | commits=1 | pkg=daemon,identity_migration | imports_tests=- | classes=DaemonIdentityMigrationGateTest | popen=0 sleeps=0 | doc=
tools/tests/test_daemon_spawn_branch.py | loc=765 | tests=36 | added=2026-09-05|daemon: record the spawn branch, the job-object reading and the shutdown reason in the durable audi | commits=3 | pkg=daemon,runtime_state,server | imports_tests=- | classes=_FakePopen,_FakeHttpd,_InterruptingStop,SpawnMarkerTest,ReadSpawnBranchTest,JobObjectReadingTest | popen=1 sleeps=0 | doc=Startup observability of the daemon: which spawn branch it took, which Job
tools/tests/test_daemon_spawn_outside_app.py | loc=378 | tests=24 | added=2026-09-24|fix(steam): spawn the daemon outside the client's app container; stdio gate reads real HKCU (296b) | commits=2 | pkg=daemon,server,steam_preflight,wmi_host | imports_tests=- | classes=_FakePopen,SpawnOutsideAppTest,_FakeWinreg,RealRegistryProviderTest,_StaleViewProvider,MissingPywin32IsSurfacedTest | popen=1 sleeps=0 | doc=The daemon is spawned through WMI, outside the client's app container (2026-09-23).
tools/tests/test_dayz_test_app.py | loc=235 | tests=4 | added=2026-08-16|Initial public release | commits=1 | pkg=accredited_daemon_transport,dayz_test_worker,native_broker_protocol,normal_daemon_policy,pinned_keyfile | imports_tests=- | classes=DayzTestAppTerminalTests | popen=0 sleeps=0 | doc=
tools/tests/test_dayz_test_modes.py | loc=216 | tests=8 | added=2026-09-02|Give test mode policy one authority instead of three copies | commits=1 | pkg=- | imports_tests=- | classes=DayzTestModesTests | popen=0 sleeps=0 | doc=
tools/tests/test_dayz_test_readiness.py | loc=350 | tests=10 | added=2026-08-16|Initial public release | commits=1 | pkg=dayz_test_readiness,native_broker_protocol | imports_tests=- | classes=_Broker,_Psutil,DayzTestReadinessTests | popen=0 sleeps=0 | doc=
tools/tests/test_dayz_test_request.py | loc=822 | tests=17 | added=2026-08-16|Initial public release | commits=6 | pkg=- | imports_tests=- | classes=DayzTestRequestTests,RequestRejectionReasonsTests | popen=0 sleeps=0 | doc=
tools/tests/test_dayz_test_storage.py | loc=667 | tests=32 | added=2026-09-05|storage: rotate the mission storage_1 only when the mod set that wrote it changed (fichas 4407, 01a | commits=4 | pkg=dayz_test_storage,dayz_test_worker | imports_tests=- | classes=NormalizationTest,ShouldRotateTest,PrepareStorageTest,CrashBetweenEveryPairOfIoTest,DiagnosticRuleTest | popen=0 sleeps=0 | doc=Oracle for M15-min: rotate storage_1 only when the mod set changed.
tools/tests/test_dayz_test_tool.py | loc=2453 | tests=65 | added=2026-08-16|Initial public release | commits=24 | pkg=control_client,dayz_test_modes,dayz_test_request,dayz_test_tool,dayz_test_worker,native_launcher_transaction,server,steam_preflight | imports_tests=- | classes=DayzTestToolRequestTest,DayzTestTerminalTest,_Opened,_Bundle,_Runtime,DayzTestExecutionTest | popen=0 sleeps=0 | doc=
tools/tests/test_dayz_test_tool_modes.py | loc=697 | tests=17 | added=2026-09-04|dayz_test_tool: M19 derives the run modes from the M12 authority, checks the dead client for all|cl | commits=5 | pkg=dayz_test_modes,dayz_test_request,dayz_test_tool,native_launcher_transaction,steam_preflight | imports_tests=test_dayz_test_tool | classes=_Reached,ModeAuthorityDerivationTest,ModeAuthorityExecutionTest,ModeContractM19Test,ArtifactRootsTest,StopArtifactsTest | popen=0 sleeps=0 | doc=The run modes dayz_test_tool gates on are read from the M12 authority.
tools/tests/test_dayz_test_value_error_codes.py | loc=155 | tests=8 | added=2026-08-21|Name the six launch-path errors that reached the caller as bare ValueError | commits=2 | pkg=dayz_test_tool,server | imports_tests=- | classes=DayzTestValueErrorCodesTest,TypedValueErrorWiringTest | popen=0 sleeps=0 | doc=Every constant ValueError token on the dayz_test path must reach the caller named.
tools/tests/test_dayz_test_worker.py | loc=1137 | tests=37 | added=2026-08-16|Initial public release | commits=8 | pkg=dayz_test_readiness,dayz_test_request,dayz_test_storage,dayz_test_worker,native_broker_protocol | imports_tests=- | classes=_Broker,_LostExistingStartBroker,_RejectingStartBroker,DayzTestWorkerTests,StorageSealTests,ReplacementWitnessTests | popen=0 sleeps=0 | doc=
tools/tests/test_dayz_tools_paths.py | loc=325 | tests=16 | added=2026-08-21|Stop assuming where DayZ Tools live, and gate the things that were only true today | commits=4 | pkg=dayz_tools_paths | imports_tests=- | classes=DayZToolsPathsTest,RegistryStepTests | popen=0 sleeps=0 | doc=
tools/tests/test_db05_preflight_diagnostics.py | loc=202 | tests=13 | added=2026-09-08|a green preflight says which checks it did not run, and a refused attach names the state | commits=3 | pkg=dayz_test_tool,steam_preflight | imports_tests=test_dayz_test_tool,test_steam_preflight | classes=Db05DiagnosticsTest | popen=0 sleeps=0 | doc=db05: public diagnostics with an in-memory launcher, lifecycle and Steam.
tools/tests/test_dependency_lock.py | loc=327 | tests=8 | added=2026-08-16|Initial public release | commits=5 | pkg=- | imports_tests=- | classes=DependencyLockTest | popen=0 sleeps=0 | doc=
tools/tests/test_docs_truth.py | loc=660 | tests=20 | added=2026-08-22|Watch the documents instead of correcting them again | commits=6 | pkg=loopback,session_coordination | imports_tests=- | classes=LeaseListDocsTest,CanopyCalibrationDocsTest,InstallerPythonDocsTest,SparseAddonDocsTest,LogsSinceTailCapDocsTest,FreshCloneGreenClaimDocsTest | popen=0 sleeps=0 | doc=Docs truth watchdog: mechanical claims in the docs must match the tree.
tools/tests/test_doctor.py | loc=1912 | tests=71 | added=2026-08-16|Initial public release | commits=6 | pkg=daemon_policy,launcher_registry | imports_tests=- | classes=DoctorTest,NativeBundleExternalsTests,NativeBundleClosureWiringTests | popen=1 sleeps=0 | doc=
tools/tests/test_doctor_pairing.py | loc=198 | tests=4 | added=2026-08-24|Install the Knowledge Pack by default and let doctor watch the pairing | commits=2 | pkg=doctor | imports_tests=- | classes=DoctorKnowledgePackPairingTest | popen=0 sleeps=0 | doc=
tools/tests/test_effective_schema.py | loc=218 | tests=14 | added=2026-08-29|Resolve the tool contract that build_app actually publishes | commits=3 | pkg=effective_schema | imports_tests=- | classes=EffectiveSchemaTests | popen=0 sleeps=0 | doc=Effective schemas are the post-build_app public contract, not the fn body.
tools/tests/test_effective_schema_catalog.py | loc=205 | tests=5 | added=2026-09-02|Add the M13 schema core as three authorities that cannot check each other | commits=4 | pkg=effective_schema_catalog | imports_tests=- | classes=EffectiveSchemaCatalogTests | popen=0 sleeps=0 | doc=Independent M13 catalog and fixture contract tests.
tools/tests/test_effective_schema_core.py | loc=304 | tests=11 | added=2026-09-02|Add the M13 schema core as three authorities that cannot check each other | commits=1 | pkg=effective_schema_core | imports_tests=- | classes=EffectiveSchemaCoreTests,EffectiveSchemaIdentityProjectionTests | popen=0 sleeps=0 | doc=Pure, synthetic contract tests for the M13 effective-schema core.
tools/tests/test_effective_schema_promotion.py | loc=60 | tests=3 | added=2026-09-11|fix(mcp): CAMBIO Python batch + 47c4 steam-bootstrap diagnosis | commits=1 | pkg=- | imports_tests=- | classes=EffectiveSchemaPromotionTests | popen=0 sleeps=0 | doc=ficha d366: v1 constraint ids promote onto the v5 concept list.
tools/tests/test_effective_schema_runtime_validators.py | loc=70 | tests=4 | added=2026-09-02|Add the M13 schema core as three authorities that cannot check each other | commits=1 | pkg=effective_schema_runtime_validators | imports_tests=- | classes=EffectiveSchemaRuntimeValidatorTests | popen=0 sleeps=0 | doc=Synthetic runtime enumerator tests; no server or fixture imports are allowed.
tools/tests/test_enqueue_refusal_reaches_the_caller.py | loc=260 | tests=13 | added=2026-09-06|server: a daemon enqueue refusal reaches the caller with its code and hint instead of a bare remote | commits=2 | pkg=instance_fence,loopback,server | imports_tests=test_client_mode | classes=EnqueueRefusalCodeTest,EnqueueCodeCensusTest,ClientModeIdleRunRefusalTest | popen=0 sleeps=0 | doc=
tools/tests/test_entities_has_cargo.py | loc=415 | tests=5 | added=2026-09-02|M03: report cargo capacity per entity row, and publish the server verb set | commits=1 | pkg=- | imports_tests=- | classes=EntitiesHasCargoStructuralTest | popen=0 sleeps=0 | doc=Offline structural gate for ``entities_query.has_cargo`` (ficha 40e4, module M03).
tools/tests/test_entities_query_cargo.py | loc=240 | tests=12 | added=2026-09-04|server: entities_query rows carry has_cargo from the bridge (ficha 40e4, Enforce in 1118329); captu | commits=1 | pkg=server | imports_tests=- | classes=NormalizeEntitiesCargoTest,EntitiesQueryCargoWireTest,EntitiesQueryDescriptionTest | popen=0 sleeps=0 | doc=entities_query rows publish has_cargo as bool | None.
